@relation Wilt

@attribute class {n,w}
@attribute GLCM_pan numeric
@attribute Mean_Green numeric
@attribute Mean_Red numeric
@attribute Mean_NIR numeric
@attribute SD_pan numeric

@data
w,118.747727,199.392857,121.892857,425.785714,22.476149
w,135.108654,232.153846,137.523077,545.723077,24.530845
w,116.628692,232.333333,149.6,530.633333,22.20533
w,126.795806,204.45614,110.491228,370.298246,16.440179
n,126.706304,194.522727,95.113636,337.113636,10.860569
w,107.044643,212.476191,125.380952,464.761905,21.262531
w,131.24812,209.72,143.64,410.16,15.312335
w,122.373404,207.949153,117.271186,532.847458,26.87722
w,124.022222,205.431818,135.102273,411.295455,16.420985
w,128.806692,183.882353,96.176471,369.588235,16.438835
w,140.670259,197.206897,116.931035,361.62069,15.922822
w,132.186551,205.241379,114.655172,491.517241,17.212666
w,124.283465,210.75,124.5,556.25,18.388069
w,126.457123,207.595506,110.460674,446.123596,23.712109
w,132.768156,201.377778,110.022222,483.755556,22.674116
w,135.674623,188.98,101.98,329.99,17.858541
w,130.392046,220.606061,114.757576,610.121212,25.929905
n,118.234849,159.2,70.88,224.44,16.699701
n,129.223404,226.745763,102.694915,674.508475,26.143319
n,125.945607,173.533333,79.133333,386.333333,12.331351
n,123.21466,176.666667,82.5,280.333333,14.863032
n,126.019886,186.181818,79.909091,359.590909,16.30165
n,133.727012,176.318182,77,276.136364,13.210314
w,126.811628,190.555556,100.851852,307.074074,18.025359
n,101.034682,190.090909,80.818182,319.363636,23.773031
n,128.984668,208.594595,96.513514,715.324324,18.387398
n,115.678571,186.142857,76.428571,351.571429,30.358403
w,120.981211,216.5,121.666667,656.866667,25.893285
n,143.458225,191.916667,79.770833,353.916667,18.092308
n,115.657143,203.727273,84.318182,551.954546,21.999296
w,132.656075,160.029412,73.411765,279,12.242963
w,125.535652,193.287671,112.328767,339.821918,15.305582
w,128.393617,211.466667,119.366667,530.833333,12.212243
w,115.542798,205.233333,124.133333,408.033333,15.102943
w,126.370618,212.578947,127.947368,546.31579,18.981183
n,127.016753,207.244898,97.673469,420.591837,16.118186
n,114.752101,186.866667,81.866667,518.333333,20.558345
n,123.07563,204,88,449,10.197167
n,125.101833,181.225807,76.645161,321.741936,21.778566
n,141.215947,178.342105,78.421053,309.81579,18.322292
w,113.647321,222.428571,149.857143,530.714286,34.420939
n,106.359375,198.833333,89.166667,609.333333,16.68499
w,137.643204,204.923077,111.076923,512.923077,21.09604
n,140.208065,197.717949,81.410256,535.871795,25.72931
n,122.211598,210.254902,93.303922,439.705882,24.008875
w,120.395804,226.633333,126.6,659.588889,22.564391
w,132.973926,195.585366,113.658537,392.878049,22.422104
n,110.807292,188.666667,77.5,446.5,18.705874
n,135.09335,211.857143,91.44898,527.755102,28.687708
w,121.198695,197.471264,118.022989,351.574713,15.5256
n,133.618058,160.982196,66.878338,156.913947,8.763332
n,118.977401,189.164179,82.626866,330.985075,20.038346
n,138.575646,188.308824,78.926471,292.867647,16.814632
n,119.561939,189.728571,79.5,392.842857,30.273748
n,133.619266,172,68.142857,239.142857,8.705206
n,124.526731,188.027778,97.222222,356.291667,17.160912
w,134.753919,195.425,103.55,450.375,18.683616
w,120.982699,209.561644,121.438356,461.972603,19.340865
w,116.573864,226.787879,143.939394,582,30.482981
n,117.063131,183.84,87.16,410.08,20.418266
n,137.691964,213,94.071429,493.619048,38.112139
w,113.768844,181.44,100.12,271.84,13.880288
n,117.101952,196.344828,88.551724,373.586207,17.906083
n,112.948087,217.956522,95.130435,564.869565,22.700233
n,123.210227,184.75,80.204545,490.318182,28.385508
n,134.610417,208.966667,97.566667,756.766667,24.661621
n,131.311783,160.010753,68.026882,174.102151,8.570951
n,120.850128,172.77027,70.047297,240.675676,13.778092
n,129.145161,194.257143,80.085714,382.085714,15.100047
w,121.873178,178.627907,88.906977,294.790698,12.327336
w,146.261719,206.34375,109.375,536.03125,15.973489
w,121.291005,210.833333,117,661.666667,19.362586
n,138.359684,190.4375,101.3125,426.125,20.487706
w,125.35625,206.4,115,439.6,11.679469
n,129.636485,200.170213,104.446809,419.723404,25.53952
n,130.600807,192.52381,84.666667,346.206349,18.744547
n,129.463329,203.516854,88.955056,341.449438,17.43296
n,125.357629,169.707692,69.676923,223.015385,21.033982
n,111.625,186.5,75,281.75,19.980155
w,114.543605,207.906977,134.627907,437.581395,28.370091
n,119.407767,186.923077,74.230769,274.230769,27.075393
n,117.828125,202.5,86.5,409,11.299889
w,133.739837,207.612903,127,495.935484,13.002121
w,114.896825,202.625,97.75,505.125,20.799264
w,132.738908,188.351351,101.540541,456.351351,16.811419
w,146.293103,204.272727,119.090909,433.272727,10.672433
w,138.706918,201.72,105.68,426.8,19.246818
n,142.247368,197.25,97.25,433.25,11.714189
w,124.254605,222.879581,122.235602,567.858639,21.239903
w,138.048649,216.514286,112.4,533.942857,28.63741
w,135.703642,223.447368,118.368421,610.236842,24.710737
w,125.648585,201.301887,103.113208,590.188679,23.63001
w,125.648585,201.301887,103.113208,590.188679,23.63001
w,129.741509,209.820896,118.149254,467.104478,18.916731
w,130.10732,209.117647,113.862745,530.54902,20.015536
w,115.820528,221.371429,146.2,497.657143,15.189386
n,114,207.742857,99.142857,599.114286,26.908826
w,123.012924,191.333333,105.794872,439.230769,15.383761
n,137.384106,215.921053,97.210526,439.368421,17.365251
w,124.070892,200.728814,119.355932,389.389831,17.663831
w,129.221374,206.853659,116.853659,483.682927,21.825684
n,124.359322,201.621622,86.918919,575.783784,20.82211
n,128.790808,233.050633,102.443038,734.291139,25.607573
n,132.812222,193.722581,82.625806,342.251613,18.594305
w,116.368538,217.082353,124.635294,480.247059,22.016772
w,141.784375,196.8,115.65,390.35,20.507255
n,146.428571,192.5,88,593.571429,28.328341
w,122.797834,202.342857,132.485714,322.285714,15.835378
w,125.454458,187.257576,91.878788,239.757576,14.63445
n,87.587302,186.25,84,360,14.840822
n,123.232394,190.361111,91.361111,289.194444,19.935312
n,116.716535,190.875,83.3125,376.875,24.859292
n,127.533133,203.476191,86.952381,470.619048,23.626727
n,106.837963,193.666667,83.296296,512.37037,34.459137
n,145.651921,191.981482,83.425926,425.703704,23.558649
w,150.095833,224,136.466667,529.466667,14.094286
w,116.490401,229.916667,153.277778,525.861111,27.463893
w,142.369792,224.833333,121.333333,695.75,24.07396
n,128.70945,197.266667,88.844444,483.377778,29.673499
w,129.681883,197.681818,120.613636,420.022727,18.951589
w,132.467266,216.755102,118.44898,584.469388,22.559265
w,130.337887,210.289855,130.695652,488.942029,21.31991
w,119.357692,215.571429,128.367347,476.632653,14.331036
w,130.72093,211.777778,115.555556,499.592593,28.377139
n,120.178891,219.2,96.257143,492.428571,20.629407
n,130.570866,207.3125,91.75,443.75,10.349366
n,130.788537,175.9375,73.3125,285.375,15.6245
n,136.898438,188.5,84,429.75,39.904525
n,121.179775,180.470588,86.764706,292.352941,11.667577
w,137.9975,236.4,127.52,673,29.057626
w,139.892216,229.857143,139,515.380952,31.609652
n,93.947917,184.166667,81,462,25.327302
n,147.026119,175.088235,76.941176,244.029412,9.242597
w,132.948795,212.52381,133.785714,469.214286,17.373775
w,119.980769,215.153846,145.384615,493.461539,14.787099
w,150.181035,225,145.681818,540.5,13.90768
w,128.291118,232.973684,129,558.763158,18.249369
n,120.34375,196,84,385,32.678569
n,129.628199,174.704225,73.330986,239.570423,13.464864
n,131.375551,187.368421,76.929825,364.017544,24.130991
n,132.648459,168,76.266667,220.066667,16.205105
w,122.03125,176.25,85.25,335,14.439529
w,119.379747,195.685714,109.857143,411.228571,14.165033
w,127.469836,182.217391,88.014493,254.289855,15.525264
n,123.514934,221.72381,103.714286,736.438095,27.49589
w,136.797066,210.346154,121.423077,513.615385,11.959807
w,122.298378,213.551724,127.12069,527.258621,22.926737
n,104.3125,202,93,413,18.580157
w,121.05,224.314815,144.074074,465.055556,21.072813
w,133.532538,192.80315,110.283465,349.834646,21.066013
n,119.132813,196.90625,87.90625,442.875,39.363577
n,144.126126,239,132,567,15.773913
n,128.840336,170.933333,71.666667,287,23.553815
w,109.966387,194.6,99.533333,361.4,23.747187
n,101.575,208.8,95.2,513.2,31.083114
w,117.559028,225.222222,123,541.388889,28.124722
w,122.537799,221.378788,136.712121,456.439394,17.558357
n,139.974085,221.121951,101.707317,624.609756,37.420819
n,105.479167,339.666667,206,609.333333,41.348116
n,125.063201,211.290323,98.645161,453.403226,13.298981
n,112.882353,194,80,391.666667,16.198217
n,129.340278,183.666667,72.333333,356.666667,29.208066
w,122.006993,239,139.777778,542.166667,23.846733
w,125.810934,195.535714,102.678571,361.321429,15.270144
w,137.222892,216.826923,124.442308,458.846154,28.770542
w,127.992188,199.75,102.75,566.75,36.859319
w,114.231023,221.657895,132.052632,563.894737,36.533406
w,130.562384,216.323529,124.676471,566.647059,16.864409
n,138.334056,166.931035,67.103448,317.517241,14.91474
w,130.386431,185.813954,96.395349,277.27907,22.652571
n,122.25,167.538462,77.923077,272.923077,18.813315
w,138.67233,207.730769,114.923077,537.230769,27.576467
w,131.795563,211.45,111.45,598.5,31.472121
w,114.885,216.76,132.72,567.72,29.518699
n,134.309816,198.780488,91.658537,352.02439,20.943452
n,117.888158,177.157895,74.947368,340.368421,35.707646
w,128.216868,179,87.285714,257.428571,14.923539
n,140.960641,213.55814,108.604651,620.511628,21.703494
n,128.695313,197.1875,86.1875,608.4375,20.65755
n,117.150273,179.26087,85.521739,303.043478,24.120993
n,126.282154,185.412587,87.006993,283.041958,11.65932
w,117.053798,189.95,102.7,328.6,27.351919
n,133.176881,198.691358,92.037037,244.617284,20.49991
n,132.70916,172.437909,69.738562,144.875817,5.7724
w,127.529193,249.019802,157.722772,609.970297,17.054662
w,121.487981,226.615385,138.884615,470.923077,23.965088
w,123.588685,236.512195,144.487805,675.243902,20.620707
w,118.622449,229.540541,131.027027,485.45946,21.199873
n,138.120536,183.571429,87.571429,505.571429,27.494712
n,150.91958,191.555556,91.111111,622.388889,14.221029
n,127.413249,173.6,74.5,331.05,26.826246
w,132.834753,189.864865,96.432432,367.45946,21.006451
w,120.258677,229.177083,144.145833,519.885417,19.700349
n,108.227053,159.769231,73.538462,201.769231,14.892117
w,129.082105,219,155.566667,452.466667,13.442057
w,132.905797,203.846154,110.692308,451.538462,23.317115
n,144.401434,197.171429,87.2,570.742857,21.118905
n,128.631954,207.295455,97.568182,384.295455,16.74409
n,141.552448,257.777778,149.25,292.638889,17.938918
w,110.283465,223.21875,131.0625,487.4375,18.248288
n,118.886029,168,74.352941,322.411765,18.522594
n,111.707407,198.235294,89.470588,632.470588,32.167813
n,124.447802,165.913044,75.086957,278,12.517511
w,135.895288,192.305556,90.694444,339.263889,17.432802
n,126.664032,229.5625,112.65625,652.75,20.14903
n,131.419704,182.036036,76.684685,276.936937,18.710269
n,130.371875,195.15,89.05,494.15,25.512497
w,127.660144,197.639344,108.295082,411.114754,21.238361
w,125.313808,210.3,114.5,517,23.198396
w,135.337423,196.16129,112.774194,487.354839,13.547926
w,133.558559,208.892857,113.142857,458.392857,29.556652
w,143.022956,212.204546,124.454546,487.795455,24.121454
n,108.860987,233.785714,107.928571,806.428571,19.14419
n,124.249084,201.246377,100,273.507246,14.33737
w,125.334199,207.762887,116.742268,496.463918,20.834289
w,130.556604,203.851064,120.042553,436.87234,14.723128
w,136.032319,221,124.090909,514.090909,17.60014
w,134.412195,194.961539,114.538462,350.692308,14.621304
w,124.324533,216.385965,122.350877,458.824561,21.003774
n,132.868876,177.795455,73.647727,190.386364,14.147394
w,135.6125,173.4,87.8,269.6,15.509997
w,126.332183,202.39726,119.712329,370.958904,23.434012
n,141.266204,244.518519,134.111111,681.703704,28.35291
w,130.527482,199.649351,109.987013,360.311688,17.748406
w,129.161935,236.783333,132.983333,660.8,21.027125
n,145.409449,230.6875,118.625,462.375,23.470394
n,135.813161,199.648148,90.037037,516.537037,18.578126
n,133.936061,210.22449,89.387755,428.591837,32.621286
n,126.028947,181.125,87.875,371.875,17.425586
n,136.630189,171.537313,71.253731,322.238806,18.31148
w,139.353147,215.148148,115.092593,573.277778,15.591977
n,111.747748,175.214286,77.428571,244.857143,18.698467
w,112.78125,171.222222,79.222222,146.777778,15.187308
n,123.673077,193.153846,88.538462,554.461539,21.40287
n,130.753045,177.508772,77.052632,393.684211,17.982567
w,128.782334,225.675,118.525,560.225,22.568216
w,140.156951,225.714286,137.285714,622.285714,19.997066
n,138.451429,211.272727,94,623.954546,26.855483
n,110.931343,219.833333,98.928571,694.5,18.809283
n,137.305054,215.2,98.142857,491.8,20.138581
n,136.3711,169.495652,68.217391,183.417391,10.319713
w,121.146,191.56383,108.468085,437.308511,19.450466
w,136.123832,189.518519,94.518519,453.592593,22.636024
w,128.430348,188.06579,94.236842,307.171053,15.859428
w,129.439024,209.677419,110.096774,482.451613,25.127728
w,117.346154,212.444444,119.111111,523.277778,27.102458
n,121.319096,181.64,85.48,286.28,11.940117
n,132.044711,167.396552,67.241379,213.344828,8.854032
n,116.884868,208.210526,97.368421,591.631579,32.46912
n,122.372549,165,74.25,276.25,10.98792
n,139.670833,205.4,93.6,459.6,15.485334
w,119.808889,216.352113,121.211268,485.338028,22.471027
w,120.011396,224.787879,123.681818,542.560606,26.678355
w,131.170649,214.081081,113.567568,573.054054,25.018766
w,138.951705,234.454546,153.318182,514.454546,32.710507
w,132.480025,198.336634,104.633663,362.623762,17.361007
w,141.988938,176.62069,103.62069,336.689655,11.23884
w,121.506731,205.557252,116.992366,380.045802,16.243826
n,134.596852,243.884615,112.115385,769.019231,20.894069
n,126.254266,226.121622,102.648649,672.405405,22.476499
w,120.298165,176.909091,93.672727,220.8,20.818777
w,110.28744,180.423077,91.692308,306.730769,16.134054
n,150.462209,188.674419,83.209302,417.488372,23.355716
n,113.368056,191.5,81,449.833333,16.810123
w,99.8125,167.4375,84.4375,196.9375,10.517656
n,119.168487,231.135803,107.209877,741.283951,19.672195
n,139.082873,195.173913,80.347826,455.695652,14.5022
n,121.946203,195.8,93.6,346.8,15.829087
w,137.206422,204.121951,103.95122,513.95122,23.723772
n,135.995516,202.785714,103.642857,559.928571,19.22225
n,125.729167,196.333333,87.444444,473.333333,62.396581
n,128.383648,243.183333,112.783333,859.383333,15.068538
n,121.468519,215.764706,97.794118,878.029412,21.566907
w,113.99768,214.857143,135.785714,452.5,11.775699
w,144.674051,210.25,123.55,415.65,17.379514
n,118.672399,224.232877,100.383562,768.684932,27.551852
w,106.489104,199.384615,111.153846,412.230769,24.926401
n,141.326389,203.888889,79.111111,492,20.292308
n,112.93691,181.971963,73.971963,417.785047,21.504533
n,112.892046,191.181818,97.181818,415.636364,25.013054
w,130.925234,224.574074,126.407407,567.925926,14.933931
w,130.925234,224.574074,126.407407,567.925926,14.933931
w,128.045738,224.824176,135.901099,507.197802,18.507171
w,116.009677,206.897436,113.897436,315,20.031829
w,128.699134,203.413793,116.965517,339.103448,24.23591
w,139.947735,206.666667,111.277778,523.888889,21.204672
n,132.369845,213.877551,113.591837,585.387755,22.950284
n,155.88125,206.4,94.2,678.8,12.514392
n,145.051383,195.0625,86.9375,351,17.51506
n,114.495902,217.173913,96.804348,667.043478,21.320014
n,131.960318,201.75,88.3125,666.1875,10.494046
n,110.943182,210.909091,92.818182,625.545455,34.269713
n,167.944444,208.25,96.375,711.75,17.200563
n,135.655952,199.169811,89.849057,441.660377,22.928651
n,119.55,169,83,310,12.009996
n,138.892966,195.640777,84.92233,420.349515,21.601263
n,137.100932,162.170732,64.97561,159.243902,9.854987
n,134.740132,181.631579,77.421053,406.368421,25.149856
n,105.982143,215.714286,105.571429,775,18.500965
n,140.662992,182.725,76.15,334.8,17.837303
n,141.197,273.777778,169.333333,448.777778,20.619665
n,127.859048,205.272727,93.818182,716.181818,23.71169
w,136.492126,179,86.25,499.75,26.543596
n,127.375,220.5,96.25,662.75,24.469927
n,115.776471,189.75,85.875,250.5,7.206497
n,132.750588,190.481482,80.666667,306.777778,16.844331
n,131.183246,201.916667,84.25,377.666667,15.711593
n,124.380392,278.4375,154,513.25,34.702699
n,139.784131,185.907407,83.296296,382.166667,16.939708
w,123.417355,170.645161,75.483871,221.806452,7.750533
n,118.156919,227.613636,103.636364,589.318182,28.510329
n,122.041841,185.833333,79.35,280.383333,20.0194
n,134.663609,182.02439,78.560976,254.682927,17.66049
n,132.473485,188.909091,89.30303,442.727273,22.867567
n,127.920833,226.4,123.466667,597.466667,16.831188
n,112.452381,217.702703,95.324324,729.351351,17.791915
n,120.312831,219.59322,99.084746,594.830509,29.886802
n,105.742188,163.25,74.25,233.75,8.411302
n,125.201077,176.085714,66.057143,224.942857,17.632669
n,116.062802,187.615385,80.692308,407.115385,27.191546
n,134.28273,262.088889,167.333333,426.466667,14.229859
n,131.628713,244.105263,140.052632,592.263158,25.119396
n,146.747984,224.645161,110.645161,546.129032,19.418765
n,105.962185,187.533333,82.466667,347.866667,13.65707
n,112.627232,117.210526,50.578947,309.877193,22.617866
n,117.700273,245.065217,115.086957,680.608696,16.496849
n,129.261261,189,82,456,18.828983
n,127.429167,241.666667,135.266667,559.266667,25.403412
n,116.210214,241.54717,117,789.283019,19.675184
n,116.847484,249.925,111.875,667.55,15.709153
n,128.16095,278.229167,164.833333,424.416667,12.707992
n,118.946774,210.666667,89.846154,529.153846,36.240068
n,133.272947,203.653846,88.923077,515.230769,27.764543
n,127.013889,245.111111,133.222222,358.888889,13.800161
n,146.808511,216,114.666667,474.333333,20.043702
n,81.125,195,81.8,356,10.906879
n,125.255435,208.057143,103.685714,328.685714,14.940043
n,142.496241,224.68,99.92,661.4,31.102694
n,125.753425,242.521739,111.782609,795.434783,22.636354
n,163.669643,257.142857,163.785714,300,10.384447
n,118.927885,240.538462,117.538462,510.846154,41.207944
n,116.870886,273.36,158.28,494.2,22.580204
n,136.189024,235.761905,125.095238,630.142857,19.446187
n,132.355469,192.5625,97.5,487.5,30.722294
n,126.173034,171.142857,79.785714,325.857143,13.690455
n,149.055118,273.125,138.25,619.3125,20.026155
n,130.00625,202.5,88,510,30.189402
n,129.347716,208.28,93.36,779.56,17.684162
n,131.967237,228.522727,105.727273,774.363636,23.335321
n,130.75,263.823529,135.941177,666.705882,22.873656
n,135.296667,192.684211,83.526316,460.105263,27.920743
n,136.150485,178.615385,85.461538,343.769231,16.269549
n,140.15368,284.655172,167.931035,502.931035,13.820232
n,118.288202,267.357143,162.776786,498.723214,12.702113
n,104.294069,372.126667,244,292.673333,31.274115
n,121.538682,186.090909,80.909091,297.363636,30.902406
n,109.836735,236.348837,121.255814,518.325581,20.970968
n,127.496169,227.181818,125.848485,281.424242,12.339846
n,122.624194,185.461539,77.871795,382.102564,19.384039
n,131.83,244.4,146.48,471.8,19.885512
n,136.637605,235.066667,108.75,633.9,24.290207
n,135.650704,237.111111,144.266667,443.688889,15.653407
n,127.143382,214.411765,128.647059,261.352941,16.673124
n,122.662429,352.573034,233.370787,372.865169,21.703584
n,149.716216,253.071429,135.428571,319.142857,26.842796
n,135.904943,222.393939,98.818182,635.151515,32.129301
n,126.933472,193.540984,96.229508,270.557377,17.728733
n,134.956962,305,176.32,289.36,9.795182
n,122.770206,184.75,90.55,218,12.22661
n,138.525,208.45,90.75,607.15,43.524131
n,123.52563,234.780822,109.39726,767.39726,16.739334
n,122.798595,262.777778,129.407407,737.296296,26.681991
n,129.784114,261.290323,161.645161,405.16129,12.148406
n,117.109948,1848.916667,1594.583333,1597.333333,16.612412
n,141.306011,190.26087,92.043478,576.304348,20.342158
n,139.05081,210.017699,109.150443,248.309735,14.804609
n,127.230618,430.28125,293.645833,341.635417,12.076363
n,127.029581,180.714286,79.194805,171.935065,12.660559
n,115.222432,225.701493,106.567164,472.641791,13.5562
n,131.787703,237.703704,110.333333,722.166667,23.797298
n,127.53125,200.25,82.75,374.5,20.197463
n,128.181522,244.680412,140.237113,414.608247,23.704575
n,125.428651,279.070175,189.166667,334.254386,8.140318
n,125.101695,245.066667,116.933333,681.8,17.283775
n,129.424,180.75,86,218.5,12.036241
n,128.040752,237.85,185.35,275.2,20.480723
n,119.971591,204.818182,98,482.454546,41.877231
n,133.545346,234.811321,133.471698,548.716981,22.544683
n,129.763716,217.977012,129.793103,228.850575,19.944003
n,123.554348,202.826087,106.391304,364.565217,17.314068
n,121.549028,276.22,175.593333,402.62,13.394574
n,119.076687,247.95122,113.365854,808.02439,24.830059
n,107.944444,197,90,451,8.214887
n,119.731928,182.238095,74.285714,301.690476,22.944278
